4/20/2018 9:53 AM
#3	Dark
Area (mm2) :	10.00

V (V)	J_source(mA/cm2)	I_PD (A)	Luminascence (cd/m2)	EQE (%)	PE (lm/W)	
-5.000E-1	-6.342E-6	1.190E-13	7.158E-3	-3.181E+1	7.091E+2
-4.500E-1	-2.270E-8	7.200E-14	4.331E-3	-5.378E+3	1.332E+5
-4.000E-1	-6.062E-9	6.100E-14	3.669E-3	-1.706E+4	4.754E+5
-3.500E-1	6.014E-7	-1.300E-13	-7.819E-3	-3.665E+2	1.167E+4
-3.000E-1	2.678E-6	2.000E-14	1.203E-3	1.266E+1	-4.704E+2
-2.500E-1	-3.091E-7	1.630E-13	9.804E-3	-8.942E+2	3.986E+4
-2.000E-1	6.528E-7	2.270E-13	1.365E-2	5.896E+2	-3.285E+4
-1.500E-1	7.209E-8	2.660E-13	1.600E-2	6.257E+3	-4.649E+5
-1.000E-1	1.227E-6	2.640E-13	1.588E-2	3.650E+2	-4.067E+4
-5.000E-2	-1.105E-6	1.810E-13	1.089E-2	-2.777E+2	6.190E+4
0.000E+0	1.274E-6	6.740E-13	4.054E-2	8.967E+2	Inf
5.000E-2	1.506E-6	3.540E-13	2.129E-2	3.986E+2	8.885E+4
1.000E-1	1.471E-6	-2.500E-14	-1.504E-3	-2.882E+1	-3.211E+3
1.500E-1	1.146E-6	1.830E-13	1.101E-2	2.707E+2	2.011E+4
2.000E-1	-6.716E-7	-9.000E-14	-5.413E-3	2.272E+2	1.266E+4
2.500E-1	1.411E-6	7.800E-14	4.692E-3	9.373E+1	4.178E+3
3.000E-1	1.594E-6	1.440E-13	8.662E-3	1.532E+2	5.692E+3
3.500E-1	1.003E-6	7.900E-14	4.752E-3	1.335E+2	4.252E+3
4.000E-1	1.385E-6	1.350E-13	8.120E-3	1.653E+2	4.605E+3
4.500E-1	2.375E-6	1.180E-13	7.098E-3	8.425E+1	2.086E+3
5.000E-1	1.687E-6	1.110E-13	6.677E-3	1.115E+2	2.486E+3
5.500E-1	1.288E-6	1.380E-13	8.301E-3	1.817E+2	3.683E+3
6.000E-1	1.758E-6	1.430E-13	8.601E-3	1.379E+2	2.561E+3
6.500E-1	1.872E-6	1.850E-13	1.113E-2	1.675E+2	2.873E+3
7.000E-1	1.126E-6	1.910E-13	1.149E-2	2.877E+2	4.580E+3
7.500E-1	1.150E-6	1.920E-13	1.155E-2	2.831E+2	4.207E+3
8.000E-1	2.341E-6	2.040E-13	1.227E-2	1.478E+2	2.059E+3
8.500E-1	2.056E-6	2.030E-13	1.221E-2	1.674E+2	2.195E+3
9.000E-1	2.273E-6	2.240E-13	1.347E-2	1.671E+2	2.069E+3
9.500E-1	3.298E-6	2.200E-13	1.323E-2	1.131E+2	1.327E+3
1.000E+0	2.458E-6	1.750E-13	1.053E-2	1.207E+2	1.346E+3
1.050E+0	3.347E-6	1.810E-13	1.089E-2	9.170E+1	9.733E+2
1.100E+0	2.469E-6	3.210E-13	1.931E-2	2.204E+2	2.233E+3
1.150E+0	3.334E-6	1.740E-13	1.047E-2	8.849E+1	8.575E+2
1.200E+0	3.420E-6	1.950E-13	1.173E-2	9.668E+1	8.979E+2
1.250E+0	2.935E-6	1.790E-13	1.077E-2	1.034E+2	9.220E+2
1.300E+0	2.347E-6	9.800E-14	5.895E-3	7.079E+1	6.069E+2
1.350E+0	2.800E-6	7.100E-14	4.271E-3	4.300E+1	3.550E+2
1.400E+0	4.208E-6	3.900E-14	2.346E-3	1.572E+1	1.251E+2
1.450E+0	4.491E-6	2.420E-13	1.456E-2	9.137E+1	7.023E+2
1.500E+0	5.305E-6	2.550E-13	1.534E-2	8.151E+1	6.056E+2
1.550E+0	3.840E-6	1.980E-13	1.191E-2	8.742E+1	6.286E+2
1.600E+0	5.902E-6	1.510E-13	9.083E-3	4.338E+1	3.022E+2
1.650E+0	4.627E-6	1.760E-13	1.059E-2	6.450E+1	4.356E+2
1.700E+0	6.358E-6	1.830E-13	1.101E-2	4.880E+1	3.199E+2
1.750E+0	6.757E-6	1.780E-13	1.071E-2	4.467E+1	2.845E+2
1.800E+0	5.927E-6	1.830E-13	1.101E-2	5.235E+1	3.241E+2
1.850E+0	7.326E-6	1.930E-13	1.161E-2	4.467E+1	2.691E+2
1.900E+0	7.248E-6	1.800E-13	1.083E-2	4.211E+1	2.470E+2
1.950E+0	9.926E-6	1.400E-13	8.421E-3	2.392E+1	1.367E+2
2.000E+0	1.214E-5	2.030E-13	1.221E-2	2.836E+1	1.580E+2
2.050E+0	2.022E-5	2.710E-13	1.630E-2	2.273E+1	1.236E+2
2.100E+0	4.228E-5	2.650E-13	1.594E-2	1.063E+1	5.640E+1
2.150E+0	8.982E-5	1.010E-13	6.075E-3	1.907E+0	9.883E+0
2.200E+0	2.054E-4	1.290E-13	7.759E-3	1.065E+0	5.393E+0
2.250E+0	5.193E-4	1.950E-13	1.173E-2	6.367E-1	3.154E+0
2.300E+0	1.366E-3	2.680E-13	1.612E-2	3.327E-1	1.612E+0
2.350E+0	3.513E-3	4.340E-13	2.611E-2	2.095E-1	9.935E-1
2.400E+0	8.352E-3	9.370E-13	5.636E-2	1.902E-1	8.834E-1
2.450E+0	1.776E-2	2.910E-12	1.750E-1	2.779E-1	1.264E+0
2.500E+0	3.444E-2	7.190E-12	4.325E-1	3.540E-1	1.578E+0
2.550E+0	5.830E-2	1.594E-11	9.588E-1	4.636E-1	2.026E+0
2.600E+0	9.054E-2	3.240E-11	1.949E+0	6.068E-1	2.601E+0
2.650E+0	1.316E-1	5.790E-11	3.483E+0	7.458E-1	3.136E+0
2.700E+0	1.814E-1	9.560E-11	5.750E+0	8.938E-1	3.689E+0
2.750E+0	2.416E-1	1.518E-10	9.131E+0	1.065E+0	4.318E+0
2.800E+0	3.125E-1	2.430E-10	1.462E+1	1.318E+0	5.247E+0
2.850E+0	3.980E-1	3.550E-10	2.135E+1	1.512E+0	5.914E+0
2.900E+0	4.963E-1	5.100E-10	3.068E+1	1.743E+0	6.697E+0
2.950E+0	6.109E-1	7.190E-10	4.325E+1	1.996E+0	7.539E+0
3.000E+0	7.448E-1	1.002E-9	6.027E+1	2.281E+0	8.475E+0
3.050E+0	8.983E-1	1.372E-9	8.253E+1	2.590E+0	9.463E+0
3.100E+0	1.079E+0	1.898E-9	1.142E+2	2.983E+0	1.072E+1
3.150E+0	1.280E+0	2.560E-9	1.540E+2	3.392E+0	1.200E+1
3.200E+0	1.514E+0	3.360E-9	2.021E+2	3.763E+0	1.311E+1
3.250E+0	1.773E+0	4.360E-9	2.623E+2	4.169E+0	1.430E+1
3.300E+0	2.065E+0	5.590E-9	3.362E+2	4.589E+0	1.550E+1
3.350E+0	2.394E+0	7.090E-9	4.265E+2	5.022E+0	1.671E+1
3.400E+0	2.761E+0	8.900E-9	5.353E+2	5.466E+0	1.792E+1
3.450E+0	3.173E+0	1.108E-8	6.665E+2	5.921E+0	1.913E+1
3.500E+0	3.628E+0	1.363E-8	8.198E+2	6.370E+0	2.028E+1
3.550E+0	4.133E+0	1.661E-8	9.991E+2	6.814E+0	2.139E+1
3.600E+0	4.692E+0	2.080E-8	1.251E+3	7.517E+0	2.327E+1
3.650E+0	5.369E+0	2.470E-8	1.486E+3	7.800E+0	2.382E+1
3.700E+0	6.055E+0	2.930E-8	1.762E+3	8.204E+0	2.471E+1
3.750E+0	6.805E+0	3.420E-8	2.057E+3	8.521E+0	2.532E+1
3.800E+0	7.625E+0	3.980E-8	2.394E+3	8.850E+0	2.596E+1
3.850E+0	8.523E+0	4.600E-8	2.767E+3	9.152E+0	2.649E+1
3.900E+0	9.503E+0	5.270E-8	3.170E+3	9.403E+0	2.687E+1
3.950E+0	1.068E+1	6.070E-8	3.651E+3	9.639E+0	2.720E+1
