OLED Lifetime Measurement:	4/20/2018, 10:03 AM
Measurement type: Constant current
Notes:


Measurement Settings
------------------------
Sourced (V or mA):   3.000000E-2
Discard:   4.500000E+1
Total no. of points:   5
Wait time (s):   0.000000E+0
Device Settings
------------------------
Device Type:   
Detector Response (A/W):   0.000000E+0
Photometric Response (lm/W):   0.000000E+0
Device Area (cm^2):   1.000000E-1
Threshhold (mV):   0.000000E+0
No. of photons/eV:   0.000000E+0
Detector Background (V):9.900000E-14

Measurement Data
--------------------
Time (s)	Voltage (V)	Current (mA)	V Det (V)	
0.0000E+0	3.0000E-2	2.9178E+3	1.9670E-10
2.0801E-1	3.0000E-2	2.9172E+3	1.9580E-10
4.1702E-1	3.0000E-2	2.9165E+3	1.9540E-10
6.1704E-1	3.0000E-2	2.9159E+3	1.9550E-10
8.1705E-1	3.0000E-2	2.9154E+3	1.9520E-10
0.0000E+0	3.0000E-2	2.9178E+3	1.9670E-10
2.0801E-1	3.0000E-2	2.9172E+3	1.9580E-10
4.1702E-1	3.0000E-2	2.9165E+3	1.9540E-10
6.1704E-1	3.0000E-2	2.9159E+3	1.9550E-10
8.1705E-1	3.0000E-2	2.9154E+3	1.9520E-10
4.1252E+0	3.0000E-2	2.9097E+3	1.9830E-10
4.3262E+0	3.0000E-2	2.9094E+3	1.9900E-10
4.5263E+0	3.0000E-2	2.9092E+3	1.9950E-10
5.2683E+0	3.0000E-2	2.9090E+3	2.0300E-10
5.4763E+0	3.0000E-2	2.9081E+3	2.0200E-10
4.1252E+0	3.0000E-2	2.9097E+3	1.9830E-10
4.3262E+0	3.0000E-2	2.9094E+3	1.9900E-10
4.5263E+0	3.0000E-2	2.9092E+3	1.9950E-10
5.2683E+0	3.0000E-2	2.9090E+3	2.0300E-10
5.4763E+0	3.0000E-2	2.9081E+3	2.0200E-10
8.8435E+0	3.0000E-2	2.9049E+3	1.9700E-10
9.0435E+0	3.0000E-2	2.9047E+3	1.9800E-10
9.2435E+0	3.0000E-2	2.9045E+3	1.9700E-10
9.4435E+0	3.0000E-2	2.9044E+3	1.9900E-10
9.6436E+0	3.0000E-2	2.9042E+3	2.0000E-10
8.8435E+0	3.0000E-2	2.9049E+3	1.9700E-10
9.0435E+0	3.0000E-2	2.9047E+3	1.9800E-10
9.2435E+0	3.0000E-2	2.9045E+3	1.9700E-10
9.4435E+0	3.0000E-2	2.9044E+3	1.9900E-10
9.6436E+0	3.0000E-2	2.9042E+3	2.0000E-10
1.2969E+1	3.0000E-2	2.9018E+3	1.8500E-10
1.3169E+1	3.0000E-2	2.9016E+3	1.8500E-10
1.3369E+1	3.0000E-2	2.9015E+3	1.8500E-10
1.3577E+1	3.0000E-2	2.9013E+3	1.8600E-10
1.3786E+1	3.0000E-2	2.9012E+3	1.8600E-10
1.2969E+1	3.0000E-2	2.9018E+3	1.8500E-10
1.3169E+1	3.0000E-2	2.9016E+3	1.8500E-10
1.3369E+1	3.0000E-2	2.9015E+3	1.8500E-10
1.3577E+1	3.0000E-2	2.9013E+3	1.8600E-10
1.3786E+1	3.0000E-2	2.9012E+3	1.8600E-10
1.7095E+1	3.0000E-2	2.8990E+3	1.6400E-10
1.7295E+1	3.0000E-2	2.8988E+3	1.6400E-10
1.7495E+1	3.0000E-2	2.8986E+3	1.6500E-10
1.7695E+1	3.0000E-2	2.8985E+3	1.6600E-10
1.7895E+1	3.0000E-2	2.8984E+3	1.6600E-10
1.7095E+1	3.0000E-2	2.8990E+3	1.6400E-10
1.7295E+1	3.0000E-2	2.8988E+3	1.6400E-10
1.7495E+1	3.0000E-2	2.8986E+3	1.6500E-10
1.7695E+1	3.0000E-2	2.8985E+3	1.6600E-10
1.7895E+1	3.0000E-2	2.8984E+3	1.6600E-10
2.2337E+1	3.0000E-2	2.8964E+3	1.3710E-10
2.2537E+1	3.0000E-2	2.8956E+3	1.3690E-10
2.2739E+1	3.0000E-2	2.8955E+3	1.3740E-10
2.2938E+1	3.0000E-2	2.8954E+3	1.3790E-10
2.3146E+1	3.0000E-2	2.8953E+3	1.3780E-10
